t,x,z,vx,vz,theta,mass
0.0,8.265099556726228e-30,500.0,10.0,10.0,0.3490658503988659,10000.0
1.1203243327610353,11.203243318847484,510.186590746864,9.999999984968273,8.18507453399559,0.2708672111905116,10000.000000161597
2.2406486655220705,22.40648662292649,518.3398763314111,9.999999973648773,6.370149066960547,0.1926685719821574,10000.000000323194
3.360972998283106,33.609729916436784,524.4598567526504,9.999999966110659,4.555223599188071,0.11446993277380327,10000.000000484792
4.481297331044141,44.812973203642706,528.5465320099221,9.999999962399968,2.7402981309758894,0.03627129356544872,10000.000000646389
5.601621663805176,56.01621648884706,530.5999021029019,9.999999962539329,0.9253726626244461,-0.041927345642905664,10000.000000807984
6.721945996566212,67.21945977636491,530.6199670316028,9.99999996652781,-0.8895528055649257,-0.12012598485126015,10000.000000969578
7.842270329327247,78.42270307049691,528.6067267963742,9.9999999743409,-2.7044782732918162,-0.19832462405961407,10000.000001131171
8.962594662088282,89.62594637550315,524.5601813979018,9.999999985930643,-4.519403740258533,-0.2765232632679686,10000.000001292761
10.082918994849317,100.82918969557703,518.4803308372018,10.000000001225828,-6.334329206171834,-0.35472190247632235,10000.000001454275
11.203243327610352,112.0324330348192,510.367175115616,10.000000020132305,-8.1492546707445,-0.432920541684676,10000.00000161578
12.323567660371388,123.23567639721193,500.22071423480446,10.000000042533035,-9.964180133696551,-0.5111191808930295,10000.000001777265
13.443891993132423,134.43891978659303,488.0409481967363,10.000000068287223,-11.779105594754995,-0.5893178201013829,10000.000001938783
14.564216325893458,145.64216320662408,473.8278770036892,10.000000097221083,-13.594031053643654,-0.6675164593097361,10000.000002100118
15.684540658654495,155.41443372644224,459.30269079796204,7.405246024063261,-12.369449680634077,-0.7457150985180192,9986.90614501465
16.804864991415528,161.78170899843005,446.4104816951947,3.915110492388197,-10.690236231026805,-0.8239137377260535,9970.748909588718
17.925189324176564,164.08657590491967,435.2457467162952,0.15659648416069719,-9.289139327588103,-0.9021123769334211,9954.591674162648
19.0455136569376,162.04061031288077,425.48521215441735,-3.848158884322404,-8.186750505215231,-0.980311016138286,9938.43443873661
20.165837989698634,155.41697930953762,416.83958963889484,-7.980363247750372,-7.251022203927674,-0.9866656579661376,9922.277203311385
21.28616232245967,146.47638420156446,407.6994404559677,-7.980363207508166,-9.06594765192651,-0.9084670187702327,9922.277203472604
22.406486655220704,137.5357891373893,396.5259861297497,-7.980363169602435,-10.880873103019631,-0.830268379574324,9922.277203634028
23.52681098798174,128.59519411424182,383.31922665689603,-7.9803631343032,-12.695798556986656,-0.7520697403784165,9922.277203795502
24.647135320742777,119.65459912907535,368.0791620343075,-7.98036310183354,-14.510724013609439,-0.6738711011825085,9922.27720395697
25.76745965350381,110.71400417860538,350.80579225913675,-7.980363072394606,-16.325649472656494,-0.5956724619866003,9922.277204118434
26.887783986264846,101.77340925933328,331.4991173288043,-7.980363046167642,-18.1405749338823,-0.5174738227906948,9922.277204279972
28.008108319025883,92.83281436756846,310.15913724101273,-7.9803630233137,-19.955500397028267,-0.4392751835947875,9922.277204441507
29.128432651786916,83.8922194994515,286.78585199376136,-7.980363003972942,-21.770425861823917,-0.3610765443988798,9922.27720460297
30.248756984547953,74.9516246509781,261.37926158535873,-7.980362988263912,-23.585351327988292,-0.2828779052029736,9922.277204764432
31.36908131730899,66.0110298180235,233.93936601443335,-7.980362976282884,-25.40027679523088,-0.2046792660070673,9922.277204925897
32.489405650070026,57.07043499636781,204.46616527994507,-7.980362968103323,-27.215202263250944,-0.12648062681116007,9922.277205087365
33.609729982831055,48.12984018172154,172.95965938120392,-7.980362963775587,-29.03012773172473,-0.04828198761525326,9922.2772052487
34.73005431559209,39.15203332759135,141.0948774513112,-8.007810934616085,-27.853948866405037,0.02991665157721407,9912.551311431933
35.85037864835313,30.33663080517275,111.65508136266087,-7.664627677106944,-24.70501949916836,0.1081152907467193,9896.394076005887
36.970702981114165,22.123188745846267,85.7269339340321,-6.93352924319577,-21.590026371858695,0.18631392800775695,9880.23684057971
38.0910273138752,14.916646554344293,63.26163957027161,-5.892747021464592,-18.521839157014558,0.23366675274065873,9864.079605153465
39.21135164663623,9.013105926943595,44.206702651119116,-4.601664444315595,-15.505480269526336,0.2885818827244326,9847.922369727221
40.33167597939727,4.677834622603645,28.50175098973408,-3.1179353511032035,-12.535635476400053,0.3127945568153994,9831.76513430098
41.452000312158304,1.9793141984864757,16.136012814265978,-1.7620394577659209,-9.52064949591045,0.23459591762165796,9815.60789887474
42.57232464491934,0.5878444745910613,7.20640007636549,-0.7859895608932888,-6.406395174216379,0.15639727841575488,9799.450663448499
43.69264897768038,0.07360870249963199,1.8074626599752892,-0.1970146448282993,-3.22272133422748,0.07819863920813837,9783.29342802226
44.81297331044141,-1.1620639337213003e-27,-8.654319073673358e-28,-9.753258554773979e-26,3.3491714104775833e-28,2.704245640533335e-26,9767.13619259602
